dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32,rul
test_FD001,999124,24,82,4/5/2018 9:02,FRON,KMIA,KPVD,-0.0009,-0.0005,100,518.67,1561.76,1590.45,1404.42,14.62,21.61,554.5,2388.01,9072.65,1.3,47.17,521.98,2387.97,8146.29,8.3839,0.03,391,2388,100,38.96,23.3618,20.0
test_FD001,999124,24,124,4/12/2018 11:30,FRON,KIAD,KDEN,-0.0007,0.0003,100,518.67,1561.64,1583.37,1397.39,14.62,21.61,553.77,2388.03,9077.82,1.3,47.42,521.65,2387.99,8162.91,8.4295,0.03,394,2388,100,39.01,23.3654,20.0
test_FD001,999124,24,79,4/4/2018 21:37,FRON,KSAT,KLAS,0.0048,0.0001,100,518.67,1561.41,1584.06,1400.76,14.62,21.61,553.91,2388.02,9066.02,1.3,47.37,522.57,2387.97,8149.4,8.4166,0.03,391,2388,100,38.93,23.3686,20.0
test_FD001,999124,24,11,3/23/2018 1:50,FRON,KLAS,KRDU,-0.0021,-0.0002,100,518.67,1561.69,1580.99,1394.52,14.62,21.61,555.03,2387.99,9060.83,1.3,47.13,522.66,2387.97,8152.18,8.3539,0.03,392,2388,100,39.02,23.4459,20.0
test_FD001,999124,24,91,4/7/2018 9:56,FRON,KMIA,KLAS,0.0009,0.0,100,518.67,1561.3300000000002,1587.63,1397.43,14.62,21.61,554.45,2387.98,9070.32,1.3,47.25,522.76,2388.03,8151.63,8.4076,0.03,392,2388,100,39.06,23.2694,20.0
test_FD001,999124,24,71,4/3/2018 17:21,FRON,KAUS,KIAD,-0.0008,-0.0001,100,518.67,1561.5,1590.26,1399.99,14.62,21.61,554.1,2388.0,9070.85,1.3,47.23,522.04,2387.95,8152.63,8.4134,0.03,391,2388,100,38.95,23.3899,20.0
test_FD001,999124,24,28,3/26/2018 6:38,FRON,KMKE,KTPA,0.002,0.0002,100,518.67,1561.22,1584.72,1385.71,14.62,21.61,554.62,2388.01,9065.55,1.3,47.02,522.67,2388.0,8149.54,8.3968,0.03,391,2388,100,39.1,23.4088,20.0
test_FD001,999124,24,17,3/24/2018 4:39,FRON,KPHL,KJAX,-0.0018,-0.0002,100,518.67,1561.49,1580.61,1396.98,14.62,21.6,554.92,2388.0,9064.27,1.3,47.16,522.37,2388.02,8147.83,8.3898,0.03,390,2388,100,38.98,23.4934,20.0
test_FD001,999124,24,150,4/16/2018 19:42,FRON,KCOS,KLAS,-0.0038,-0.0005,100,518.67,1561.97,1587.16,1408.04,14.62,21.61,553.43,2388.05,9098.75,1.3,47.57,522.22,2388.06,8166.61,8.427,0.03,393,2388,100,39.11,23.3512,20.0
test_FD001,999124,24,121,4/12/2018 8:33,FRON,KMCO,KIAD,-0.0007,0.0003,100,518.67,1561.5600000000002,1588.75,1406.34,14.62,21.61,554.76,2388.04,9076.19,1.3,47.29,522.36,2388.0,8159.8,8.416,0.03,392,2388,100,39.03,23.3906,20.0
test_FD001,999124,24,164,4/19/2018 9:16,FRON,KLGA,KCVG,0.0022,-0.0002,100,518.67,1561.37,1588.14,1409.49,14.62,21.61,553.68,2388.1,9108.64,1.3,47.7,521.78,2388.07,8184.26,8.4304,0.03,392,2388,100,38.86,23.2558,20.0
test_FD001,999124,24,158,4/18/2018 8:17,FRON,KDTW,KDEN,-0.0013,-0.0005,100,518.67,1562.47,1586.61,1403.93,14.62,21.61,553.76,2388.02,9106.52,1.3,47.61,521.97,2388.06,8179.49,8.455,0.03,393,2388,100,38.87,23.3396,20.0
test_FD001,999124,24,162,4/19/2018 1:24,FRON,KDEN,KATL,0.0013,0.0002,100,518.67,1561.74,1589.5,1401.84,14.62,21.61,553.53,2388.02,9108.39,1.3,47.47,521.62,2388.06,8182.32,8.4647,0.03,395,2388,100,38.73,23.1809,20.0
test_FD001,999124,24,150,4/16/2018 19:42,FRON,KCOS,KLAS,-0.0038,-0.0005,100,518.67,1561.97,1587.16,1408.04,14.62,21.61,553.43,2388.05,9098.75,1.3,47.57,522.22,2388.06,8166.61,8.427,0.03,393,2388,100,39.11,23.3512,20.0
test_FD001,999124,24,167,4/19/2018 19:44,FRON,KCVG,KLGA,0.0019,0.0,100,518.67,1562.13,1590.08,1410.07,14.62,21.61,552.89,2388.01,9116.53,1.3,47.48,521.34,2388.1,8186.19,8.4081,0.03,393,2388,100,38.76,23.2521,20.0
test_FD001,999124,24,25,3/25/2018 11:04,FRON,KMIA,KBUF,0.0013,0.0001,100,518.67,1561.3200000000002,1591.5,1402.42,14.62,21.61,554.55,2388.01,9067.74,1.3,47.15,522.51,2388.02,8142.47,8.416,0.03,393,2388,100,38.99,23.3423,20.0
test_FD001,999124,24,123,4/12/2018 11:30,FRON,KIAD,KDEN,-0.0006,-0.0005,100,518.67,1561.99,1583.04,1404.96,14.62,21.61,553.6,2388.02,9077.11,1.3,47.32,522.27,2388.0,8155.32,8.4175,0.03,391,2388,100,38.99,23.3367,20.0
test_FD001,999124,24,31,3/27/2018 12:06,FRON,KDEN,KRNO,0.0012,0.0001,100,518.67,1561.5400000000002,1586.23,1406.48,14.62,21.61,555.28,2387.96,9062.44,1.3,47.19,522.52,2387.99,8145.5,8.395,0.03,392,2388,100,39.03,23.3789,20.0
test_FD001,999124,24,49,3/30/2018 15:27,FRON,KTTN,KPBI,-0.0018,0.0001,100,518.67,1561.7,1587.12,1398.18,14.62,21.61,554.21,2387.98,9060.9,1.3,47.35,522.21,2388.01,8144.2,8.3946,0.03,390,2388,100,39.04,23.4721,20.0
test_FD001,999124,24,149,4/16/2018 16:46,FRON,KSAT,KCOS,-0.0016,-0.0003,100,518.67,1561.99,1589.54,1404.25,14.62,21.61,553.93,2388.01,9099.79,1.3,47.54,521.63,2388.06,8179.76,8.4461,0.03,392,2388,100,38.85,23.2491,20.0
test_FD001,999124,24,34,3/27/2018 21:34,FRON,KONT,KDEN,0.0007,-0.0003,100,518.67,1561.76,1585.93,1404.77,14.62,21.61,553.91,2388.0,9076.86,1.3,47.09,522.13,2388.03,8147.89,8.379,0.03,392,2388,100,39.04,23.3734,20.0
test_FD001,999124,24,109,4/10/2018 11:23,FRON,KBUF,KTPA,0.006,-0.0004,100,518.67,1561.8300000000002,1583.54,1403.3,14.62,21.61,553.95,2388.02,9071.13,1.3,47.25,522.23,2387.92,8152.24,8.41,0.03,394,2388,100,38.78,23.4276,20.0
test_FD001,999124,24,114,4/11/2018 14:22,FRON,KCOS,KSAT,-0.0008,0.0004,100,518.67,1561.35,1588.36,1403.28,14.62,21.61,554.78,2387.98,9077.79,1.3,47.31,522.16,2387.98,8156.98,8.4015,0.03,392,2388,100,38.88,23.3298,20.0
test_FD001,999124,24,45,3/29/2018 22:39,FRON,KMIA,KDEN,0.0,-0.0001,100,518.67,1561.47,1588.43,1396.62,14.62,21.61,554.43,2387.95,9067.82,1.3,47.16,522.95,2388.0,8147.45,8.3598,0.03,393,2388,100,38.91,23.3963,20.0
test_FD001,999124,24,153,4/17/2018 10:30,FRON,KPVD,KDEN,-0.0008,0.0004,100,518.67,1562.01,1595.17,1411.37,14.62,21.61,554.57,2388.05,9098.24,1.3,47.48,522.16,2388.02,8175.27,8.4102,0.03,392,2388,100,38.99,23.3692,20.0
test_FD001,999124,24,51,3/31/2018 5:43,FRON,KTTN,KMIA,0.0028,-0.0005,100,518.67,1561.65,1581.69,1395.25,14.62,21.6,554.23,2387.99,9069.29,1.3,47.16,522.73,2387.96,8150.99,8.4164,0.03,389,2388,100,39.27,23.3825,20.0
test_FD001,999124,24,83,4/5/2018 13:02,FRON,KPVD,KMIA,0.0009,-0.0002,100,518.67,1561.25,1580.22,1409.63,14.62,21.61,554.65,2387.94,9071.77,1.3,47.06,523.04,2387.99,8157.26,8.3774,0.03,390,2388,100,39.11,23.31,20.0
test_FD001,999124,24,106,4/9/2018 22:28,FRON,KAUS,KLAS,0.0016,0.0003,100,518.67,1561.89,1579.33,1401.31,14.62,21.61,554.8,2388.04,9069.69,1.3,47.14,522.2,2387.96,8154.66,8.4054,0.03,391,2388,100,38.9,23.3869,20.0
test_FD001,999124,24,161,4/18/2018 20:42,FRON,KATL,KDEN,-0.0024,-0.0001,100,518.67,1561.7900000000002,1589.39,1405.73,14.62,21.61,553.12,2387.99,9110.19,1.3,47.53,522.29,2388.07,8186.55,8.4569,0.03,393,2388,100,38.87,23.255,20.0
test_FD001,999124,24,178,5/6/2018 17:33,FRON,KPHL,KMSN,-0.0023,0.0001,100,518.67,1562.7800000000002,1596.55,1407.89,14.62,21.61,553.7,2388.1,9133.44,1.3,47.53,521.38,2388.06,8200.05,8.4495,0.03,395,2388,100,38.78,23.1389,20.0
test_FD001,999124,24,136,4/14/2018 18:14,FRON,KDEN,KRNO,0.002,-0.0003,100,518.67,1561.72,1597.96,1404.71,14.62,21.61,554.43,2387.98,9083.45,1.3,47.32,522.09,2388.04,8166.73,8.407,0.03,394,2388,100,38.9,23.3944,20.0
test_FD001,999124,24,169,4/20/2018 19:24,FRON,,,-0.0023,0.0001,100,518.67,1562.6,1595.96,1410.345,14.62,21.61,552.88,2387.98,9121.95,1.3,47.61,520.59,2388.05,8191.99,8.458,0.03,395,2388,100,38.96,23.3212,20.0
test_FD001,999124,24,177,5/6/2018 14:09,FRON,KMSN,KPHL,0.002,0.0,100,518.67,1562.18,1597.53,1411.835,14.62,21.61,552.98,2388.01,9126.17,1.3,47.58,521.37,2388.11,8200.38,8.441,0.03,395,2388,100,38.9,23.1707,20.0
test_FD001,999124,24,62,4/2/2018 17:18,FRON,KLAS,KCOS,-0.0038,0.0004,100,518.67,1561.47,1590.1,1397.32,14.62,21.61,553.87,2387.99,9073.69,1.3,47.3,522.23,2387.94,8153.62,8.3806,0.03,391,2388,100,39.03,23.4648,20.0
test_FD001,999124,24,114,4/11/2018 14:22,FRON,KCOS,KSAT,-0.0008,0.0004,100,518.67,1561.35,1588.36,1403.28,14.62,21.61,554.78,2387.98,9077.79,1.3,47.31,522.16,2387.98,8156.98,8.4015,0.03,392,2388,100,38.88,23.3298,20.0
test_FD001,999124,24,101,4/9/2018 9:26,FRON,KTTN,KJAX,-0.001,-0.0004,100,518.67,1561.5600000000002,1584.23,1395.06,14.62,21.61,554.11,2388.02,9071.65,1.3,47.27,522.75,2387.99,8152.07,8.3805,0.03,393,2388,100,38.9,23.5043,20.0
test_FD001,999124,24,58,4/1/2018 16:37,FRON,KTPA,KTTN,0.0004,0.0003,100,518.67,1561.52,1589.1,1397.49,14.62,21.6,554.98,2387.93,9073.75,1.3,47.01,522.38,2387.89,8149.03,8.3945,0.03,394,2388,100,39.02,23.4619,20.0
test_FD001,999124,24,10,3/22/2018 22:12,FRON,KSLC,KLAS,0.0002,0.0003,100,518.67,1561.8300000000002,1581.86,1399.05,14.62,21.61,554.47,2388.06,9068.25,1.3,47.18,522.46,2387.95,8147.29,8.4072,0.03,392,2388,100,39.04,23.4367,20.0
test_FD001,999124,24,86,4/6/2018 9:57,FRON,KMCO,KBUF,0.0056,-0.0003,100,518.67,1561.91,1581.33,1392.92,14.62,21.61,554.57,2388.02,9075.91,1.3,47.22,522.8,2387.98,8157.34,8.4124,0.03,394,2388,100,39.02,23.3472,20.0
test_FD001,999124,24,16,3/23/2018 20:47,FRON,KJAX,KPHL,-0.0021,0.0002,100,518.67,1561.0400000000002,1582.16,1396.54,14.62,21.61,554.01,2388.05,9063.23,1.3,47.17,521.93,2387.97,8149.53,8.4068,0.03,392,2388,100,38.99,23.3766,20.0
test_FD001,999124,24,172,4/29/2018 3:10,FRON,KRDU,KLAS,0.0013,-0.0004,100,518.67,1562.0600000000002,1595.06,1413.74,14.62,21.61,553.29,2388.03,9130.08,1.3,47.64,521.8,2388.06,8191.52,8.4643,0.03,393,2388,100,38.81,23.205,20.0
test_FD001,999124,24,105,4/9/2018 18:17,FRON,KRDU,KAUS,0.0022,-0.0005,100,518.67,1561.5800000000002,1585.69,1403.22,14.62,21.61,553.97,2388.02,9062.88,1.3,47.28,521.82,2388.01,8150.85,8.4332,0.03,392,2388,100,38.97,23.352,20.0
test_FD001,999124,24,95,4/8/2018 11:35,FRON,KLAS,KCOS,0.002,-0.0004,100,518.67,1561.51,1580.72,1387.98,14.62,21.61,553.98,2388.07,9070.97,1.3,47.2,522.38,2388.04,8152.09,8.4099,0.03,392,2388,100,38.97,23.4312,20.0
test_FD001,999124,24,59,4/2/2018 5:54,FRON,KTTN,KMCO,0.0012,0.0,100,518.67,1561.26,1576.96,1399.05,14.62,21.61,554.26,2388.03,9065.24,1.3,47.15,522.63,2387.99,8148.32,8.3957,0.03,392,2388,100,39.11,23.4974,20.0
test_FD001,999124,24,7,3/22/2018 14:54,FRON,KLAS,KSLC,0.001,-0.0002,100,518.67,1561.02,1577.6,1396.25,14.62,21.61,554.54,2388.01,9065.75,1.3,47.05,522.73,2387.94,8146.76,8.3678,0.03,391,2388,100,39.25,23.4678,20.0
test_FD001,999124,24,13,3/23/2018 7:38,FRON,KRDU,KLAS,-0.0015,-0.0003,100,518.67,1561.62,1591.3,1398.35,14.62,21.61,554.24,2388.02,9063.04,1.3,47.26,522.6,2387.95,8146.18,8.3842,0.03,391,2388,100,38.97,23.3891,20.0
test_FD001,999124,24,20,3/24/2018 15:41,FRON,KLAS,KSJC,0.0025,0.0001,100,518.67,1561.39,1584.84,1400.89,14.62,21.61,554.77,2387.98,9058.71,1.3,47.19,522.43,2388.03,8155.6,8.3873,0.03,392,2388,100,38.89,23.3853,20.0
test_FD001,999124,24,86,4/6/2018 9:57,FRON,KMCO,KBUF,0.0056,-0.0003,100,518.67,1561.91,1581.33,1392.92,14.62,21.61,554.57,2388.02,9075.91,1.3,47.22,522.8,2387.98,8157.34,8.4124,0.03,394,2388,100,39.02,23.3472,20.0
test_FD001,999124,24,173,5/3/2018 5:16,FRON,KLAS,KTPA,0.0023,0.0,100,518.67,1562.12,1592.41,1413.74,14.62,21.61,553.26,2388.09,9126.77,1.3,47.68,521.54,2388.09,8200.35,8.4667,0.03,393,2388,100,38.81,23.28,20.0
test_FD001,999124,24,40,3/28/2018 23:43,FRON,KDEN,KLAX,-0.0016,-0.0003,100,518.67,1560.84,1591.2,1403.88,14.62,21.61,554.67,2388.02,9061.82,1.3,47.17,522.72,2388.0,8142.66,8.3696,0.03,392,2388,100,39.07,23.3747,20.0
test_FD001,999124,24,183,5/7/2018 18:06,FRON,KMCO,KOKC,-0.0005,-0.0001,100,518.67,1562.7,1588.34,1411.3,14.62,21.61,553.61,2388.1,9145.77,1.3,47.64,521.78,2388.04,8214.33,8.4718,0.03,394,2388,100,38.58,23.2278,20.0
test_FD001,999124,24,117,4/11/2018 22:58,FRON,KLAS,KIAD,0.0027,0.0001,100,518.67,1561.47,1590.48,1397.08,14.62,21.61,554.03,2388.06,9068.88,1.3,47.25,522.16,2388.07,8160.58,8.4092,0.03,393,2388,100,39.01,23.4359,20.0
test_FD001,999124,24,127,4/12/2018 20:51,FRON,KDTW,KISP,0.0015,0.0002,100,518.67,1561.48,1596.54,1395.72,14.62,21.61,553.8,2387.94,9085.26,1.3,47.41,521.96,2387.99,8165.16,8.4302,0.03,393,2388,100,39.05,23.4103,20.0
test_FD001,999124,24,97,4/8/2018 17:15,FRON,KMSP,KCOS,0.0028,-0.0003,100,518.67,1561.18,1584.82,1394.8,14.62,21.61,553.8,2387.94,9067.78,1.3,47.29,522.04,2387.99,8153.6,8.3765,0.03,391,2388,100,38.88,23.3424,20.0
test_FD001,999124,24,88,4/6/2018 16:47,FRON,KMCO,KISP,-0.0009,0.0003,100,518.67,1561.71,1582.05,1400.27,14.62,21.6,554.81,2388.03,9072.97,1.3,47.3,522.71,2388.03,8150.93,8.3887,0.03,392,2388,100,38.92,23.5039,20.0
test_FD001,999124,24,77,4/4/2018 17:21,FRON,KAUS,KIAD,0.0009,0.0001,100,518.67,1561.0600000000002,1583.22,1398.59,14.62,21.61,554.06,2388.0,9072.56,1.3,47.18,522.21,2388.02,8150.86,8.3855,0.03,391,2388,100,39.04,23.4064,20.0
test_FD001,999124,24,56,4/1/2018 10:07,FRON,KATL,KTTN,0.0024,0.0004,100,518.67,1561.42,1586.23,1397.62,14.62,21.6,553.75,2387.99,9065.01,1.3,47.19,522.52,2387.99,8148.84,8.3892,0.03,392,2388,100,38.96,23.5103,20.0
test_FD001,999124,24,42,3/29/2018 8:35,FRON,KDEN,KDCA,0.0009,0.0003,100,518.67,1561.2,1584.7,1402.88,14.62,21.61,554.83,2388.0,9065.31,1.3,47.26,522.26,2388.01,8147.77,8.3755,0.03,391,2388,100,39.05,23.4375,20.0
test_FD001,999124,24,3,3/21/2018 16:58,FRON,KIND,KMCO,-0.0001,-0.0001,100,518.67,1561.11,1584.84,1399.0,14.62,21.61,554.26,2387.93,9068.51,1.3,47.25,522.29,2387.96,8148.81,8.4011,0.03,390,2388,100,38.98,23.3838,20.0
test_FD001,999124,24,2,3/21/2018 13:27,FRON,KMCO,KIND,0.0032,0.0004,100,518.67,1561.21,1584.27,1400.17,14.62,21.61,554.15,2387.98,9071.2,1.3,47.02,522.3,2388.0,8146.45,8.4143,0.03,391,2388,100,39.01,23.4892,20.0
test_FD001,999124,24,125,4/12/2018 17:11,FRON,KSAT,KCOS,-0.0003,-0.0005,100,518.67,1561.3200000000002,1585.74,1402.92,14.62,21.61,554.5,2388.0,9075.4,1.3,47.28,522.5,2388.01,8156.21,8.4395,0.03,394,2388,100,38.86,23.3911,20.0
test_FD001,999124,24,163,4/19/2018 5:21,FRON,KATL,KLGA,-0.0028,0.0004,100,518.67,1562.0400000000002,1592.7,1409.95,14.62,21.61,553.05,2388.05,9110.4,1.3,47.64,521.95,2388.04,8186.12,8.4526,0.03,393,2388,100,38.88,23.4006,20.0
test_FD001,999124,24,123,4/12/2018 11:30,FRON,KIAD,KDEN,-0.0006,-0.0005,100,518.67,1561.99,1583.04,1404.96,14.62,21.61,553.6,2388.02,9077.11,1.3,47.32,522.27,2388.0,8155.32,8.4175,0.03,391,2388,100,38.99,23.3367,20.0
test_FD001,999124,24,92,4/7/2018 12:45,FRON,KLAS,KBNA,0.0013,-0.0002,100,518.67,1561.97,1576.96,1395.11,14.62,21.61,554.82,2388.0,9067.11,1.3,47.31,521.94,2388.06,8149.89,8.4162,0.03,393,2388,100,39.02,23.3548,20.0
test_FD001,999124,24,142,4/15/2018 16:17,FRON,KAUS,KCVG,0.0042,0.0002,100,518.67,1561.52,1586.81,1398.99,14.62,21.61,553.91,2388.0,9087.59,1.3,47.45,521.15,2387.98,8176.18,8.4013,0.03,393,2388,100,38.87,23.2786,20.0
test_FD001,999124,24,39,3/28/2018 19:27,FRON,KMSP,KDEN,0.0019,0.0003,100,518.67,1561.7,1589.16,1394.71,14.62,21.61,554.59,2388.0,9059.35,1.3,47.05,522.4,2388.01,8144.78,8.363,0.03,392,2388,100,39.22,23.2992,20.0
test_FD001,999124,24,2,3/21/2018 13:27,FRON,KMCO,KIND,0.0032,0.0004,100,518.67,1561.21,1584.27,1400.17,14.62,21.61,554.15,2387.98,9071.2,1.3,47.02,522.3,2388.0,8146.45,8.4143,0.03,391,2388,100,39.01,23.4892,20.0
test_FD001,999124,24,87,4/6/2018 13:13,FRON,KBUF,KMCO,-0.0037,-0.0002,100,518.67,1561.39,1587.62,1401.59,14.62,21.61,553.83,2388.0,9065.96,1.3,47.21,522.75,2388.08,8153.03,8.3863,0.03,393,2388,100,38.93,23.4493,20.0
test_FD001,999124,24,96,4/8/2018 13:55,FRON,KCOS,KMSP,0.0012,0.0004,100,518.67,1561.16,1591.49,1395.83,14.62,21.61,553.95,2388.01,9073.77,1.3,47.17,522.43,2387.98,8156.97,8.4249,0.03,391,2388,100,38.94,23.482,20.0
test_FD001,999124,24,28,3/26/2018 6:38,FRON,KMKE,KTPA,0.002,0.0002,100,518.67,1561.22,1584.72,1385.71,14.62,21.61,554.62,2388.01,9065.55,1.3,47.02,522.67,2388.0,8149.54,8.3968,0.03,391,2388,100,39.1,23.4088,20.0
test_FD001,999124,24,116,4/11/2018 20:06,FRON,KCOS,KLAS,0.0001,0.0004,100,518.67,1561.76,1596.38,1405.35,14.62,21.61,553.86,2388.02,9076.08,1.3,47.28,522.22,2387.98,8158.49,8.4119,0.03,391,2388,100,38.97,23.3689,20.0
test_FD001,999124,24,66,4/3/2018 5:10,FRON,KIAD,KAUS,0.0003,-0.0003,100,518.67,1560.99,1578.86,1399.65,14.62,21.61,553.96,2387.97,9064.62,1.3,47.29,522.31,2387.94,8148.14,8.3996,0.03,391,2388,100,39.07,23.423,20.0
test_FD001,999124,24,68,4/3/2018 10:06,FRON,KAUS,KONT,-0.0001,-0.0005,100,518.67,1561.8200000000002,1584.96,1399.81,14.62,21.6,555.2,2387.99,9064.13,1.3,47.12,521.89,2387.98,8148.9,8.4037,0.03,391,2388,100,39.0,23.3849,20.0
test_FD001,999124,24,117,4/11/2018 22:58,FRON,KLAS,KIAD,0.0027,0.0001,100,518.67,1561.47,1590.48,1397.08,14.62,21.61,554.03,2388.06,9068.88,1.3,47.25,522.16,2388.07,8160.58,8.4092,0.03,393,2388,100,39.01,23.4359,20.0
test_FD001,999124,24,122,4/12/2018 8:33,FRON,KMCO,KIAD,0.0021,-0.0005,100,518.67,1561.15,1584.14,1404.24,14.62,21.61,553.58,2387.97,9078.06,1.3,47.47,521.69,2388.0,8155.05,8.4056,0.03,392,2388,100,39.1,23.3408,20.0
test_FD001,999124,24,27,3/25/2018 19:31,FRON,KMIA,KMKE,0.0021,0.0001,100,518.67,1561.5500000000002,1589.36,1400.01,14.62,21.61,554.88,2388.01,9066.65,1.3,47.01,522.24,2387.99,8149.0,8.4034,0.03,391,2388,100,39.12,23.4602,20.0
test_FD001,999124,24,71,4/3/2018 17:21,FRON,KAUS,KIAD,-0.0008,-0.0001,100,518.67,1561.5,1590.26,1399.99,14.62,21.61,554.1,2388.0,9070.85,1.3,47.23,522.04,2387.95,8152.63,8.4134,0.03,391,2388,100,38.95,23.3899,20.0
test_FD001,999124,24,136,4/14/2018 18:14,FRON,KDEN,KRNO,0.002,-0.0003,100,518.67,1561.72,1597.96,1404.71,14.62,21.61,554.43,2387.98,9083.45,1.3,47.32,522.09,2388.04,8166.73,8.407,0.03,394,2388,100,38.9,23.3944,20.0
test_FD001,999124,24,92,4/7/2018 12:45,FRON,KLAS,KBNA,0.0013,-0.0002,100,518.67,1561.97,1576.96,1395.11,14.62,21.61,554.82,2388.0,9067.11,1.3,47.31,521.94,2388.06,8149.89,8.4162,0.03,393,2388,100,39.02,23.3548,20.0
test_FD001,999124,24,4,3/22/2018 5:08,FRON,KMCO,KDSM,0.0024,-0.0003,100,518.67,1561.68,1580.64,1392.93,14.62,21.61,555.37,2388.02,9067.43,1.3,47.13,522.11,2387.98,8147.17,8.4132,0.03,391,2388,100,39.12,23.4911,20.0
test_FD001,999124,24,84,4/5/2018 17:56,FRON,KMIA,KISP,0.0013,-0.0003,100,518.67,1561.8300000000002,1584.97,1398.25,14.62,21.6,554.37,2387.96,9072.55,1.3,47.15,522.84,2387.97,8151.59,8.4248,0.03,392,2388,100,39.05,23.4639,20.0
test_FD001,999124,24,75,4/4/2018 14:33,FRON,KAUS,KLAS,0.0006,-0.0004,100,518.67,1561.67,1592.17,1396.92,14.62,21.61,554.41,2388.0,9072.75,1.3,47.12,523.04,2388.01,8149.76,8.393,0.03,393,2388,100,38.9,23.3814,20.0
test_FD001,999124,24,96,4/8/2018 13:55,FRON,KCOS,KMSP,0.0012,0.0004,100,518.67,1561.16,1591.49,1395.83,14.62,21.61,553.95,2388.01,9073.77,1.3,47.17,522.43,2387.98,8156.97,8.4249,0.03,391,2388,100,38.94,23.482,20.0
test_FD001,999124,24,37,3/28/2018 16:43,FRON,KDEN,KMSP,-0.0044,0.0,100,518.67,1561.62,1577.97,1392.77,14.62,21.61,554.61,2387.99,9068.08,1.3,47.15,522.03,2387.95,8155.75,8.4329,0.03,390,2388,100,39.08,23.4256,20.0
test_FD001,999124,24,171,4/23/2018 18:43,FRON,KMCI,KDEN,0.0031,-0.0002,100,518.67,1561.86,1585.25,1410.07,14.62,21.61,553.58,2388.05,9122.62,1.3,47.66,521.9,2388.06,8193.29,8.4461,0.03,394,2388,100,38.82,23.2695,20.0
test_FD001,999124,24,171,4/23/2018 18:43,FRON,KMCI,KDEN,0.0031,-0.0002,100,518.67,1561.86,1585.25,1410.07,14.62,21.61,553.58,2388.05,9122.62,1.3,47.66,521.9,2388.06,8193.29,8.4461,0.03,394,2388,100,38.82,23.2695,20.0
test_FD001,999124,24,90,4/7/2018 6:33,FRON,KMIA,KLAS,0.0035,0.0,100,518.67,1561.46,1579.82,1394.82,14.62,21.61,554.58,2388.02,9067.06,1.3,47.38,521.82,2388.0,8152.88,8.4159,0.03,390,2388,100,38.97,23.4018,20.0
test_FD001,999124,24,95,4/8/2018 11:35,FRON,KLAS,KCOS,0.002,-0.0004,100,518.67,1561.51,1580.72,1387.98,14.62,21.61,553.98,2388.07,9070.97,1.3,47.2,522.38,2388.04,8152.09,8.4099,0.03,392,2388,100,38.97,23.4312,20.0
test_FD001,999124,24,67,4/3/2018 5:10,FRON,KIAD,KAUS,-0.0008,-0.0002,100,518.67,1561.5300000000002,1589.86,1391.47,14.62,21.61,554.61,2387.95,9067.4,1.3,47.11,522.26,2388.02,8147.4,8.4118,0.03,392,2388,100,39.12,23.3441,20.0
test_FD001,999124,24,148,4/16/2018 13:42,FRON,KCOS,KSAT,0.0023,0.0,100,518.67,1561.3000000000002,1583.12,1402.53,14.62,21.61,553.51,2388.04,9107.12,1.3,47.38,521.97,2388.03,8177.0,8.4445,0.03,394,2388,100,39.02,23.3327,20.0
test_FD001,999124,24,98,4/8/2018 20:04,FRON,KCOS,KLAS,0.0002,0.0001,100,518.67,1561.47,1594.36,1399.84,14.62,21.61,554.2,2388.03,9079.95,1.3,47.16,522.22,2388.0,8151.22,8.4142,0.03,392,2388,100,38.83,23.4334,20.0
test_FD001,999124,24,55,4/1/2018 6:46,FRON,KTTN,KATL,-0.0013,0.0003,100,518.67,1561.5400000000002,1584.74,1398.54,14.62,21.61,554.36,2387.99,9066.42,1.3,47.11,522.67,2388.05,8154.02,8.3797,0.03,390,2388,100,39.05,23.4415,20.0
test_FD001,999124,24,181,5/7/2018 10:25,FRON,KLAS,KIND,-0.002,-0.0003,100,518.67,1562.2,1597.43,1406.01,14.62,21.61,553.59,2388.05,9138.95,1.3,47.81,521.42,2388.05,8209.72,8.4904,0.03,394,2388,100,38.7,23.2389,20.0
test_FD001,999124,24,14,3/23/2018 13:35,FRON,KLAS,KDEN,-0.0014,0.0002,100,518.67,1560.88,1580.21,1394.5,14.62,21.6,554.58,2387.98,9062.87,1.3,47.16,522.88,2388.02,8143.25,8.4114,0.03,391,2388,100,39.07,23.3839,20.0
test_FD001,999124,24,147,4/16/2018 11:26,FRON,KLAS,KCOS,-0.0007,-0.0004,100,518.67,1561.41,1584.6,1405.81,14.62,21.61,553.82,2388.03,9088.24,1.3,47.47,521.9,2388.03,8170.5,8.4337,0.03,393,2388,100,38.83,23.3733,20.0
test_FD001,999124,24,186,5/8/2018 13:00,FRON,KTUL,KMCO,-0.0004,0.0002,100,518.67,1562.62,1593.82,1412.565,14.62,21.61,553.78,2388.08,9148.56,1.3,47.7,520.69,2388.07,8211.21,8.4785,0.03,393,2388,100,38.72,23.2093,20.0
